,brand,reviews,avg_avlb_rating,count_phone,avg_rating,total_reviews,data_ratio,rating_dev
0,Samsung,33629,3.7817360016652293,346,3.6326589595375727,37701,0.8919922548473516,0.1490770421276566
1,Motorola,8880,3.8186936936936937,105,3.6438095238095225,9419,0.9427752415330715,0.17488416988417121
2,Nokia,5915,3.5844463229078616,44,3.386363636363637,6182,0.95681009382077,0.19808268654422445
3,Apple,5145,3.701263362487852,63,3.782539682539682,6315,0.8147268408551069,-0.08127632005182983
4,Xiaomi,4411,4.371344366356835,46,4.415217391304347,5574,0.7913527090060998,-0.04387302494751211
5,Google,3787,3.5848956958014258,38,3.771052631578947,4238,0.8935818782444549,-0.18615693577752124
6,Sony,3196,3.7869211514392993,27,3.7888888888888888,3312,0.964975845410628,-0.001967737449589446
7,HUAWEI,2225,4.240898876404494,32,4.021875,2467,0.9019051479529794,0.21902387640449472
8,OnePlus,347,4.213256484149856,10,3.5800000000000005,406,0.854679802955665,0.6332564841498551
9,ASUS,251,3.7211155378486054,5,3.8600000000000003,263,0.9543726235741445,-0.13888446215139494
